243	Davit Jaghatspanyan	Armenia	67.63	0	7.21	0	7.84	0.08	82.76	 
244	Emir Kaan Özdemir	Turkiye	57.85	0	5.18	0	8.96	8.1	80.09	 
245	Amanda Vaarmann	Estonia	65.58	0	5.96	0	0	8.1	79.64	 
246	Prince Kumar Mandal	Nepal	73.06	0	0	0	6.35	0.04	79.45	 
247	Ulambayar Iveelsaikhan	Mongolia	52.62	0	9.07	0	9.33	8.1	79.12	 
248	Makini Thompson	Jamaica	3.25	55.33	0	0	19.76	0.08	78.42	 
249	Matthijs Schrijvers	Netherlands	40.19	3.96	15.01	0	10.82	8.1	78.08	 
250	Juan Velasquez	Peru	53.47	3.92	0	0	19.76	0.08	77.23	 
251	Mamoun Ben Ameur	Tunisia	32.08	21.43	9.17	0	6.34	8.1	77.12	 
252	Blendi Avdolli	Albania	54.67	0	5.55	0	7.84	8.1	76.16	 
253	Sara Aljneibi	United Arab Emirates	45.49	0	5.76	0	16.42	8.1	75.77	 
254	Mota, S. M.	Brazil	3.25	0	13.21	0	58.58	0	75.04	 
255	Dharit Kittisakdi	Thailand	52.4	0	3.81	0	9.33	8.1	73.64	 
256	Karla Margarita Ayala Tobar	El Salvador	3.25	0	7.45	0	49.25	13.25	73.2	
Honourable Mention
257	Koba Ami-Odayé Essowèmdéou David	Benin	35.46	0	7.5	0	17.91	8.1	68.97	 
258	Arsh Jha	Nepal	36.4	8.98	11.12	0	2.99	8.1	67.59	 
259	Muhammad Aayan Abdullah Malik	Pakistan	46.21	0	2.36	0	10.82	8.1	67.49	 
260	Creation Duwal	Nepal	64.16	0	0	0	2.99	0.08	67.23	 
261	Abdulla Khalil	United Arab Emirates	18.86	21.65	14.74	0	2.99	8.1	66.34	 
262	Mohammed Musab	United Arab Emirates	9.37	23.55	10.74	0	10.82	8.1	62.58	 
263	Fatima Lari	United Arab Emirates	15.3	0	3.81	0	34.7	8.1	61.91	 
264	Amin Ben Ameur	Tunisia	20.88	2.07	16.29	0	13.43	8.1	60.77	 
265	Rosalie Schrijvers	Netherlands	30.44	2.9	11.03	0	2.99	11.25	58.61	 
266	William Zhu	Canada	30.44	0	5.69	0	12.69	8.1	56.92	 
267	Muyao Zhang	Australia	44.26	0	7.78	0	2.99	0.08	55.11	 
268	Elbek Zohidjanov	Uzbekistan	19.15	0	0	0	20.5	8.1	47.75	 
269	Giorgi Kavelashvili	Georgia	3.25	0	13.23	0	21.64	8.1	46.22	 
270	Khalifa Almulla	United Arab Emirates	3.25	0	0	0	28.36	8.1	39.71	 
271	Derek Sha	United States	7.79	0	12.88	0	7.09	8.1	35.86	 
272	Ayşe Naz Kara	Turkiye	3.25	0	18.59	0	2.24	8.1	32.18	 
273	Axel Hernandez Malave	Venezuela	18.93	0	1.86	0	2.99	8.1	31.88	 
274	Aayush Yadav	Nepal	10.66	0	9.17	0	7.65	4.05	31.53	 
275	Hagenimana Keza Ange Darlene	Rwanda	3.25	0	11.53	0	10.07	0.08	24.93	 
276	Louis Bowen Shi	Australia	3.25	0	13.02	0	7.46	0.08	23.81	 
277	Jamía Williamson	Jamaica	3.25	0	5.71	0	2.99	8.1	20.05	 
278	Amir Kovaçi	Albania	3.25	0	7.89	0	7.09	0.08	18.31	 
279	Ersa Rrushi	Albania	3.25	0	1.9	0	2.99	8.1	16.24	 
280	Zamira Rustamova	Uzbekistan	3.25	0	0	0	2.99	8.1	14.34	 
281	Vincent Yingxi Chen	Australia	3.25	0	7.52	0	2.99	0.08	13.84	 
282	Akshara Maddineni	United Kingdom	0	0	0	0	2.99	8.1	11.09	 
283	Troi Qendro	Albania	3.25	0	3.93	0	2.99	0.08	10.25	 
284	Tina Yao Tian	Australia	3.25	0	0	0	2.99	0.08	6.32	 
